CDMercadoria;CDNCMSH2;Tipo Conteiner;Grupo de Mercadoria;Mercadoria;Nomenclatura Simplificada Mercadoria
3827;38;3827;Produtos diversos das indústrias químicas;Misturas que contenham derivados halogenados do metano, do etano;
0309;03;0309;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Farinhas, pós e pellets, de peixe, crustáceos, moluscos e de outros;
2404;24;2404;Tabaco e seus sucedâneos manufaturados;"Produtos que contenham tabaco, nicotina ou sucedâneos do tabaco ou da nicotina, destinados à inalação sem combustão; outros produtos que contenham nicotina destinados à absorção pelo corpo humano.";
8806;88;8806;Aeronaves e aparelhos espaciais, e suas partes;Veículos aéreos (aeronaves) não tripulados.;
45U1;CT;45U1;Contêineres;"40' HIGH CUBE OPEN TOP CONTAINER";Contêineres
12G0;CT;CONVENCIONAL;Contêineres;"GENERAL PURPOSE(10'/8'6) - DRY 10'";Contêineres
12R0;CT;REFRIGERADO BABY;Contêineres;"GENERAL PORPOSE (10'/8'6)-REEFER 10'";Contêineres
0101;01;0101;Animais vivos;Cavalos, asininos e muares, vivos;Animais Vivos
0102;01;0102;Animais vivos;Animais vivos da espécie bovina;Animais Vivos
0103;01;0103;Animais vivos;Animais vivos da espécie suína;Animais Vivos
0104;01;0104;Animais vivos;Animais vivos das espécies ovina e caprina;Animais Vivos
0105;01;0105;Animais vivos;"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos";Animais Vivos
0106;01;0106;Animais vivos;Outros animais vivos;Animais Vivos
0201;02;0201;Carnes e miudezas, comestíveis;Carnes de animais da espécie bovina, frescas ou refrigeradas;Carnes Bovinas Congeladas
0202;02;0202;Carnes e miudezas, comestíveis;Carnes de animais da espécie bovina, congeladas;Carnes Bovinas Congeladas
0203;02;0203;Carnes e miudezas, comestíveis;Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas;Carnes Diversas Congeladas
0204;02;0204;Carnes e miudezas, comestíveis;Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas;Carnes Diversas Congeladas
0205;02;0205;Carnes e miudezas, comestíveis;Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas;Carnes Diversas Congeladas
0206;02;0206;Carnes e miudezas, comestíveis;Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas;Carnes Diversas Congeladas
0207;02;0207;Carnes e miudezas, comestíveis;Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105;Carnes de Aves Congeladas
0208;02;0208;Carnes e miudezas, comestíveis;Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas;Carnes Diversas Congeladas
0209;02;0209;Carnes e miudezas, comestíveis;Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados;Carnes Diversas Congeladas
0210;02;0210;Carnes e miudezas, comestíveis;"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas";Carnes Diversas Congeladas
0301;03;0301;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Peixes vivos;Animais Vivos
0302;03;0302;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04;Peixes
0303;03;0303;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Peixes congelados, exceto os filés de peixes e outra carne de peixes da posição 03.04;Peixes
0304;03;0304;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Filés de peixes e outra carne de peixes (mesmo picada), frescos, refrigerados ou congelados;Peixes
