IDCarga,IDAtracacao,Origem,Destino,CDMercadoria,Tipo Operação da Carga,Carga Geral Acondicionamento,ConteinerEstado,Tipo Navegação,FlagAutorizacao,FlagCabotagem,FlagCabotagemMovimentacao,FlagConteinerTamanho,FlagLongoCurso,FlagMCOperacaoCarga,FlagOffshore,FlagTransporteViaInterioir,Percurso Transporte em vias Interiores,Percurso Transporte Interiores,STNaturezaCarga,STSH2,STSH4,Natureza da Carga,Sentido,TEU,QTCarga,VLPesoCargaBruta,Ano
20903926,897942,RU006,BRSSZ,3105,Longo Curso Importação,,,Longo Curso,S,0.0,0.0,,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Granel Sólido,Desembarcados,0,0,"3300,023",2018
20903927,897942,RU006,BRSSZ,3105,Longo Curso Importação,,,Longo Curso,S,0.0,0.0,,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Granel Sólido,Desembarcados,0,0,"7150,05",2018
20903928,897942,RU006,BRSSZ,3105,Longo Curso Importação,,,Longo Curso,S,0.0,0.0,,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Granel Sólido,Desembarcados,0,0,"1100,008",2018
20904233,897956,RULED,BRSSZ,22G0,Longo Curso Importação,Conteinerizada,Cheio,Longo Curso,S,0.0,0.0,20,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Carga Conteinerizada,Desembarcados,10,10,"209,306",2018
20904234,897956,RULED,BRSSZ,45G0,Longo Curso Importação,Conteinerizada,Cheio,Longo Curso,S,0.0,0.0,40,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Carga Conteinerizada,Desembarcados,6,3,"85,84",2018
20904235,897956,RULED,BRSSZ,45R1,Longo Curso Importação,Conteinerizada,Cheio,Longo Curso,S,0.0,0.0,40,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Carga Conteinerizada,Desembarcados,12,6,"192,465",2018
20904236,897956,RUNVS,BRSSZ,45G0,Longo Curso Importação,Conteinerizada,Cheio,Longo Curso,S,0.0,0.0,40,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Carga Conteinerizada,Desembarcados,2,1,"30,692",2018
20904315,897956,RULED,BRSSZ,22G0,Longo Curso Importação,Conteinerizada,Cheio,Longo Curso,S,0.0,0.0,20,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Carga Conteinerizada,Desembarcados,3,3,75,2018
20904316,897956,RULED,BRSSZ,22G0,Longo Curso Importação,Conteinerizada,Cheio,Longo Curso,S,0.0,0.0,20,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Carga Conteinerizada,Desembarcados,16,16,400,2018
20904403,897956,RULED,BRSSZ,22T0,Longo Curso Importação,Conteinerizada,Cheio,Longo Curso,S,0.0,0.0,20,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Carga Conteinerizada,Desembarcados,4,4,"92,545",2018
20905290,897960,RULED,BRSSZ,22G0,Longo Curso Importação,Conteinerizada,Cheio,Longo Curso,S,0.0,0.0,20,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Carga Conteinerizada,Desembarcados,1,1,"4,14",2018
20905291,897960,RULED,BRSSZ,22G1,Longo Curso Importação,Conteinerizada,Cheio,Longo Curso,S,0.0,0.0,20,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Carga Conteinerizada,Desembarcados,1,1,"10,65",2018
20905292,897960,RULED,BRSSZ,45G0,Longo Curso Importação,Conteinerizada,Cheio,Longo Curso,S,0.0,0.0,40,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Carga Conteinerizada,Desembarcados,10,5,"142,653",2018
20905293,897960,RULED,BRSSZ,45R1,Longo Curso Importação,Conteinerizada,Cheio,Longo Curso,S,0.0,0.0,40,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Carga Conteinerizada,Desembarcados,30,15,"506,494",2018
20907708,897998,RULED,BRSSZ,3104,Longo Curso Importação,,,Longo Curso,S,0.0,0.0,,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Granel Sólido,Desembarcados,0,0,"3235,73",2018
20907709,897998,RULED,BRSSZ,3104,Longo Curso Importação,,,Longo Curso,S,0.0,0.0,,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Granel Sólido,Desembarcados,0,0,"3203,046",2018
20907710,897998,RULED,BRSSZ,3104,Longo Curso Importação,,,Longo Curso,S,0.0,0.0,,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Granel Sólido,Desembarcados,0,0,"1961,048",2018
20907711,897998,RULED,BRSSZ,3104,Longo Curso Importação,,,Longo Curso,S,0.0,0.0,,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Granel Sólido,Desembarcados,0,0,"1307,366",2018
20907712,897998,RULED,BRSSZ,3104,Longo Curso Importação,,,Longo Curso,S,0.0,0.0,,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Granel Sólido,Desembarcados,0,0,"532,08",2018
20907713,897998,RULED,BRSSZ,3104,Longo Curso Importação,,,Longo Curso,S,0.0,0.0,,1.0,1,0.0,0,,,Exclusivo,Exclusivo,Exclusivo,Granel Sólido,Desembarcados,0,0,"354,72",2018
